Time (s)		Acceleration (g)	
2.828125e-002	1.753887e+001			
2.843750e-002	1.075227e+001			
2.859375e-002	1.066225e+000			
2.875000e-002	-1.836012e+001			
2.890625e-002	-2.756797e+001			
2.906250e-002	-1.616885e+001			
2.921875e-002	-2.284167e+000			
2.937500e-002	2.329623e+001			
2.953125e-002	2.050901e+001			
2.968750e-002	9.849886e+000			
2.984375e-002	-4.477832e+000			
3.000000e-002	-4.561973e+000			
3.015625e-002	-1.602578e+001			
3.031250e-002	-1.084037e+001			
3.046875e-002	-1.117838e+000			
3.062500e-002	1.287200e+000			
3.078125e-002	-3.564045e+000			
3.093750e-002	-5.145318e+000			
3.109375e-002	6.229547e-002			
3.125000e-002	-1.644769e+000			
3.140625e-002	-1.091791e+001			
3.156250e-002	-2.191312e+001			
3.171875e-002	-1.473018e+001			
3.187500e-002	-1.848963e+001			
3.203125e-002	-1.199770e+001			
3.218750e-002	4.510600e+000			
3.234375e-002	1.977263e+001			
3.250000e-002	2.054646e+001			
3.265625e-002	1.086390e+001			
3.281250e-002	3.002186e+000			
3.296875e-002	5.841130e+000			
3.312500e-002	-5.073060e+000			
3.328125e-002	-6.997738e+000			
3.343750e-002	-6.097274e+000			
3.359375e-002	1.627484e+000			
3.375000e-002	-1.335692e+000			
3.390625e-002	4.548410e+000			
3.406250e-002	2.265923e+000			
3.421875e-002	2.215870e+000			
3.437500e-002	3.644345e+000			
3.453125e-002	2.954894e+000			
3.468750e-002	-7.985583e-001			
3.484375e-002	3.863159e+000			
3.500000e-002	1.140283e-001			
3.515625e-002	2.862471e+000			
3.531250e-002	8.950263e+000			
3.546875e-002	9.549211e+000			
3.562500e-002	3.893047e+000			
3.578125e-002	-1.863823e+000			
3.593750e-002	-1.101994e+000			
3.609375e-002	-2.046388e+000			
3.625000e-002	-1.724984e+001			
3.640625e-002	-2.192909e+001			
3.656250e-002	-1.491142e+001			
3.671875e-002	6.931722e+000			
3.687500e-002	1.865887e+001			
3.703125e-002	1.489594e+001			
3.718750e-002	1.703331e+001			
3.734375e-002	1.561516e+001			
3.750000e-002	3.422770e+000			
3.765625e-002	1.055530e+001			
3.781250e-002	4.516242e+000			
3.796875e-002	1.806809e+000			
3.812500e-002	-1.399223e+001			
3.828125e-002	-1.312106e+001			
3.843750e-002	-2.790813e+001			
3.859375e-002	-1.603514e+001			
3.875000e-002	-1.190023e+001			
3.890625e-002	8.828192e-001			
3.906250e-002	1.164193e+001			
3.921875e-002	7.444249e+000			
3.937500e-002	7.650700e+000			
3.953125e-002	4.843323e+000			
3.968750e-002	-5.571184e+000			
3.984375e-002	-7.723438e+000			
4.000000e-002	-5.662046e+000			
4.015625e-002	-1.021034e+001			
4.031250e-002	-7.181623e+000			
4.046875e-002	-9.055528e+000			
4.062500e-002	-2.028204e+001			
4.078125e-002	-9.786270e+000			
4.093750e-002	4.196482e+000			
4.109375e-002	3.351952e+000			
4.125000e-002	2.262562e-001			
4.140625e-002	2.899320e+000			
4.156250e-002	8.005508e+000			
4.171875e-002	8.854719e+000			
4.187500e-002	1.267455e+001			
4.203125e-002	1.483904e+001			
4.218750e-002	2.393370e+001			
4.234375e-002	1.761954e+001			
4.250000e-002	9.639954e+000			
4.265625e-002	-3.687076e+000			
4.281250e-002	-1.815019e+001			
4.296875e-002	-2.284359e+001			
4.312500e-002	-3.454482e+001			
4.328125e-002	-2.397787e+001			
4.343750e-002	-5.631438e+000			
4.359375e-002	1.341093e+001			
4.375000e-002	3.229654e+001			
4.390625e-002	4.028512e+001			
4.406250e-002	4.004302e+001			
4.421875e-002	2.898468e+001			
4.437500e-002	1.999817e+001			
4.453125e-002	7.313896e+000			
4.468750e-002	8.396925e+000			
4.484375e-002	-1.171851e+001			
4.500000e-002	-7.840947e+000			
4.515625e-002	-1.602470e+001			
4.531250e-002	-1.922157e+001			
4.546875e-002	-1.149585e+001			
4.562500e-002	1.401732e+001			
4.578125e-002	8.434014e+000			
4.593750e-002	1.533009e+001			
4.609375e-002	1.386944e+001			
4.625000e-002	6.316448e+000			
4.640625e-002	5.043532e+000			
4.656250e-002	-5.647042e+000			
4.671875e-002	-5.072940e+000			
4.687500e-002	4.715371e+000			
4.703125e-002	9.516563e+000			
4.718750e-002	5.359451e+000			
4.734375e-002	4.297067e-001			
4.750000e-002	-1.316739e+001			
4.765625e-002	-2.887509e+001			
4.781250e-002	-2.631605e+001			
4.796875e-002	-3.279358e+001			
4.812500e-002	-1.314218e+001			
4.828125e-002	1.269075e+000			
4.843750e-002	1.396583e+001			
4.859375e-002	1.761774e+001			
4.875000e-002	2.806465e+001			
4.890625e-002	2.354601e+001			
4.906250e-002	2.316683e+001			
4.921875e-002	2.928607e+000			
4.937500e-002	-2.461811e-001			
4.953125e-002	-9.142310e+000			
4.968750e-002	-2.306037e+001			
4.984375e-002	-2.630333e+001			
5.000000e-002	-2.715542e+001			
5.015625e-002	-1.082921e+001			
5.031250e-002	-2.354625e+000			
5.046875e-002	1.146549e+001			
5.062500e-002	4.253376e+000			
5.078125e-002	1.793797e+001			
5.093750e-002	2.734159e+000			
5.109375e-002	1.789644e-001			
5.125000e-002	4.680082e+000			
5.140625e-002	-4.441463e+000			
5.156250e-002	-8.417690e+000			
5.171875e-002	-1.412715e+001			
5.187500e-002	-2.073827e+001			
5.203125e-002	-1.678917e+001			
5.218750e-002	-1.285279e+001			
5.234375e-002	-7.977421e+000			
5.250000e-002	-1.061640e+001			
5.265625e-002	-5.278911e+000			
5.281250e-002	-3.736288e+000			
5.296875e-002	3.582890e+000			
5.312500e-002	7.965058e+000			
5.328125e-002	1.374965e+001			
5.343750e-002	1.475899e+001			
5.359375e-002	1.489342e+001			
5.375000e-002	8.991672e+000			
5.390625e-002	9.678244e+000			
5.406250e-002	1.421921e+001			
5.421875e-002	9.130907e+000			
5.437500e-002	-6.997378e+000			
5.453125e-002	-1.773620e+001			
5.468750e-002	-1.620054e+001			
5.484375e-002	-9.225851e+000			
5.500000e-002	1.913155e+000			
5.515625e-002	1.643640e+001			
5.531250e-002	3.433297e+001			
5.546875e-002	3.065237e+001			
5.562500e-002	1.609384e+001			
5.578125e-002	1.396979e+001			
5.593750e-002	4.588259e+000			
5.609375e-002	4.657637e+000			
5.625000e-002	-1.786764e+000			
5.640625e-002	-1.450428e+001			
5.656250e-002	-2.175660e+001			
5.671875e-002	-2.459051e+001			
5.687500e-002	-3.342002e+001			
5.703125e-002	-3.133450e+001			
5.718750e-002	-1.305456e+001			
5.734375e-002	1.016797e+001			
5.750000e-002	2.221608e+001			
5.765625e-002	2.241473e+001			
5.781250e-002	2.377094e+001			
5.796875e-002	1.415607e+001			
5.812500e-002	6.363980e+000			
5.828125e-002	-1.686059e+000			
5.843750e-002	-3.800864e+000			
5.859375e-002	-2.316695e+000			
5.875000e-002	2.413199e+000			
5.890625e-002	3.000985e+000			
5.906250e-002	-7.821742e+000			
5.921875e-002	-9.381170e+000			
5.937500e-002	-1.142480e+001			
5.953125e-002	-3.554443e+000			
5.968750e-002	-6.221385e+000			
5.984375e-002	7.306454e+000			
6.000000e-002	4.862648e+000			
6.015625e-002	1.301555e+001			
6.031250e-002	1.047080e+001			
6.046875e-002	1.021274e+001			
6.062500e-002	4.648154e+000			
6.078125e-002	3.179830e+000			
6.093750e-002	2.090319e+000			
6.109375e-002	3.982229e+000			
6.125000e-002	-6.114798e+000			
6.140625e-002	-1.936657e+001			
6.156250e-002	-1.667034e+001			
6.171875e-002	-1.683262e+001			
6.187500e-002	-2.630813e+000			
6.203125e-002	-3.282935e+000			
6.218750e-002	6.582675e+000			
6.234375e-002	1.925182e+001			
6.250000e-002	1.991907e+001			
6.265625e-002	1.760933e+001			
6.281250e-002	1.678173e+001			
6.296875e-002	7.010581e+000			
6.312500e-002	-9.575978e-001			
6.328125e-002	-9.056129e+000			
6.343750e-002	-5.390419e+000			
6.359375e-002	-8.033955e+000			
6.375000e-002	-7.479297e+000			
6.390625e-002	-5.847852e-001			
6.406250e-002	1.011791e+001			
6.421875e-002	1.167350e+001			
6.437500e-002	6.309247e+000			
6.453125e-002	-3.647586e+000			
6.468750e-002	-4.563773e+000			
6.484375e-002	-1.404709e+001			
6.500000e-002	-6.781804e+000			
6.515625e-002	-4.549850e+000			
6.531250e-002	-5.125273e-002			
6.546875e-002	-1.006174e+001			
6.562500e-002	-9.299069e+000			
6.578125e-002	-7.249080e+000			
6.593750e-002	-4.042604e+000			
6.609375e-002	-1.156859e+001			
6.625000e-002	-1.063152e+001			
6.640625e-002	-7.711435e+000			
6.656250e-002	-1.021214e+000			
6.671875e-002	5.479001e+000			
6.687500e-002	4.060608e-001			
6.703125e-002	3.989191e+000			
6.718750e-002	2.796574e+000			
6.734375e-002	-2.985381e+000			
6.750000e-002	-1.954805e+000			
6.765625e-002	-1.249618e+001			
6.781250e-002	-1.711421e+001			
6.796875e-002	-1.652354e+001			
6.812500e-002	-9.753502e+000			
6.828125e-002	-1.349495e+001			
6.843750e-002	4.194562e+000			
6.859375e-002	2.868604e+001			
6.875000e-002	3.028544e+001			
6.890625e-002	1.099977e+001			
6.906250e-002	8.680555e+000			
6.921875e-002	-6.957168e+000			
6.937500e-002	-1.603754e+001			
6.953125e-002	-2.763218e+001			
6.968750e-002	-1.316247e+001			
6.984375e-002	-3.400084e+000			
7.000000e-002	-2.543432e+000			
7.015625e-002	-5.149879e+000			
7.031250e-002	-3.984990e+000			
7.046875e-002	-1.074591e+001			
7.062500e-002	-1.172667e+001			
7.078125e-002	-2.860430e+000			
7.093750e-002	-1.667562e+001			
7.109375e-002	2.272164e+000			
7.125000e-002	1.237207e+001			
7.140625e-002	2.566861e+001			
7.156250e-002	2.227729e+001			
7.171875e-002	2.746882e+001			
7.187500e-002	8.781021e+000			
7.203125e-002	1.941806e+001			
7.218750e-002	-9.591222e+000			
7.234375e-002	-2.150886e+001			
7.250000e-002	-2.915428e+001			
7.265625e-002	-2.306865e+001			
7.281250e-002	-3.049273e+001			
7.296875e-002	-1.749927e+001			
7.312500e-002	-1.782383e+001			
7.328125e-002	3.298719e+001			
7.343750e-002	1.926767e+001			
7.359375e-002	1.596120e+001			
7.375000e-002	1.868696e+001			
7.390625e-002	4.350360e+000			
7.406250e-002	-9.239534e+000			
7.421875e-002	-8.337150e+000			
7.437500e-002	1.778842e+000			
7.453125e-002	4.578057e+000			
7.468750e-002	2.515993e+001			
7.484375e-002	2.046136e+001			
7.500000e-002	5.803921e+000			
7.515625e-002	-5.235100e+000			
7.531250e-002	-2.175660e+000			
7.546875e-002	-3.055947e+001			
7.562500e-002	-1.665282e+001			
7.578125e-002	-2.888625e+001			
7.593750e-002	5.330524e-001			
7.609375e-002	6.185856e+000			
7.625000e-002	2.233815e+001			
7.640625e-002	1.840813e+001			
7.656250e-002	3.325018e+001			
7.671875e-002	1.659352e+001			
7.687500e-002	1.474302e+001			
7.703125e-002	-2.405109e+001			
7.718750e-002	-2.046664e+001			
7.734375e-002	-3.637443e+001			
7.750000e-002	-1.806269e+001			
7.765625e-002	-1.191920e+001			
7.781250e-002	-8.258051e-002			
7.796875e-002	2.765211e+001			
7.812500e-002	2.823605e+001			
7.828125e-002	1.879775e+001			
7.843750e-002	8.230444e-001			
7.859375e-002	-1.926718e+000			
7.875000e-002	-1.913095e+001			
7.890625e-002	-2.314919e+001			
7.906250e-002	-1.333051e+001			
7.921875e-002	-1.380343e-001			
7.937500e-002	1.012595e+001			
7.953125e-002	9.486916e+000			
7.968750e-002	1.016640e+001			
7.984375e-002	7.833865e+000			
8.000000e-002	-1.277981e+001			
8.015625e-002	-1.884768e+001			
8.031250e-002	-2.210097e+001			
8.046875e-002	-1.836240e+001			
8.062500e-002	-8.870202e+000			
8.078125e-002	9.630472e+000			
8.093750e-002	3.513848e+001			
8.109375e-002	4.016905e+001			
8.125000e-002	2.749799e+001			
8.140625e-002	1.407866e+001			
8.156250e-002	2.645337e+000			
8.171875e-002	-1.256436e+001			
8.187500e-002	-2.870009e+001			
8.203125e-002	-3.583334e+001			
